line_en,total_flow
Seohae Line,36930305
Sillim Line,107023700
Janghang Line,118227774
9Hoseon2Dangye,126301843
Gyeonggang Line,216922591
Ui–Sinseol Line,278579474
Gyeongchun Line,299212506
Suin Line,421515069
Line 9 Phase 2~3,560674985
Gwacheon Line,797450784
Ilsan Line,830595075
Gyeongui Line,1036564311
Ansan Line,1047286856
Jungang Line,1288558724
Line 8,1662196974
AREX Line 1,1787259819
Gyeongwon Line,1939372971
Gyeongin Line,2834179159
Line 9,3067357815
Line 6,3814982172
Bundang Line,3836205514
Line 1,4194582298
Gyeongbu Line,5151121321
Line 4,5753926945
Line 5,6040541497
Line 3,6080402172
Line 7,6254831348
Line 2,16222526177
