station_en,imbalance
Yeogsam,-4965.688911189162
Seongsu,-2870.830657300552
Yangjae,-2711.9588414634145
Bupyeong,-2699.419719016558
Yangjae(Seochogucheong),-2661.437837837838
Chongsindae Ibgu,-2510.2728658536585
Abgujeong,-2457.026342197692
Myeongdong,-2408.0100351229303
Cheongdam,-2270.487456096337
Abgujeonglode O,-1966.0920722528851
Geondae Ibgu,-1965.3655293527345
Cheonglyangli(Jisang),-1930.7774390243903
No Won,-1924.1847717009534
Sinsa,-1910.3060712493727
Hoehyeon,-1870.1295731707316
Chongsindae Ibgu(Isu),-1827.760960960961
Omoggyo,-1804.8475609756097
Samseong,-1795.8978658536585
Yeongdeungpo,-1704.420722528851
Hongdae Ibgu,-1671.401335002086
Gwanghwamun,-1658.378048780488
Cheonho,-1602.4001524390244
Hagdong,-1573.5163070747617
Gyeongboggung,-1551.9862804878048
Jugjeon,-1549.1894129453085
Itae Won,-1509.514801806322
Sangsu,-1492.6121424987457
Omoggyo(Mogdong Undongjang Ap),-1442.684984984985
Gangnamgucheong,-1434.6225539387858
Nonhyeon,-1404.0102860010036
Hangangjin,-1402.6929252383343
Gwanghwamun(Sejongmunhwahoegwan),-1394.9207207207207
Angug,-1299.7574009031612
Hoehyeon(Namdaemunsijang),-1254.1186186186187
Gasandijiteoldanji,-1253.4865780230807
Han Yangdae,-1243.0554440541896
Yatab,-1221.431510286001
Changdong,-1200.0184373859072
Nambuteomineol,-1187.596036585366
Su Wonsicheong,-1176.440291018565
Cheonho(Pungnabtoseong),-1170.4085585585585
Yeo Uinalu,-1163.150526843954
Dongdae Ibgu,-1155.3163572503763
Idae,-1102.5662318113398
Mogdong,-1085.7127446061215
Sanbon,-1038.0095333667837
Ttugseom,-1024.4322629202209
Wangsibli,-1016.3704268292682
Mang Won,-1007.5858003010537
Migeum,-991.3733065730055
Jeongja,-980.9229804315103
Hyehwa,-971.4131961866533
Dangsan,-948.2232814851982
Cheonglyangli(Jiha),-921.5884146341464
Sin Yongsan,-908.1179126944305
Jung Ang,-833.0308580030105
Gacheondae,-824.4646261916708
Uijeongbu,-776.9330155544405
Samseong(Mu Yeogsenteo),-741.5351351351351
Habjeong,-705.2394631209232
Namgulo,-676.3339187155043
Hanti,-635.2471149021576
Bulgwang,-633.166332162569
Nambuteomineol(Yesul Uijeondang),-631.4255255255255
Yeogchon,-592.0863020572002
Nam Yeong,-584.4019066733567
Hwajeong,-583.9438033115906
Seoggye,-582.859633718013
Dongdaemun,-573.109633718013
Daelim,-569.6196646341464
Gulo,-560.2074761665831
Cheonglyangli(Seo Ulsilibdae Ibgu),-557.4567567567567
Woldeukeobgyeonggijang,-545.875
Munjeong,-538.9219769192173
Dogsan,-537.0551931761164
Seonjeongleung,-534.8432665483135
Chungjeonglo,-523.1143292682926
Sinchon,-495.29729051680886
Jonghab Undongjang,-486.34453461831095
Chungmulo,-473.9589626674266
Daeheung,-472.0365853658537
Yongsan,-457.5888108379328
Seohyeon,-448.4739086803813
Dongdaemun Yeogsamunhwagong Won,-444.5339310829817
Sangdong,-442.1342024539877
Mongchontoseong,-440.3795731707317
Woldeukeobgyeonggijang(Seongsan),-440.2981981981982
Munlae,-433.93426994480683
Yeo Uido,-433.3223783241345
Gyeongboggung(Jeongbuseo Ulcheongsa),-430.7717717717718
Yeongdeungposijang,-426.2099849473156
Bangbae,-425.40893125940795
Sindang,-399.6211741093828
Dujeong,-395.5456598093327
Jegidong,-386.15102860010035
Sadang,-384.03186151530355
Guli,-378.05418966382337
Balsan,-374.20973406924236
Dongducheon,-368.5095333667837
Jeong Wang,-347.2039638735574
Cheolsan,-346.30180632212745
Daelim(Gulogucheong),-345.8448948948949
Mapo,-342.1605619668841
Galagsijang,-338.95296036126445
Jeongbalsan,-323.8075765178123
Daeheung(Seogangdae Ap),-321.7768768768769
Gulpocheon,-321.36872586872585
Seonleung,-310.54377822378325
Chungjeonglo(Gyeonggidae Ibgu),-305.96246246246244
Yangcheongucheong,-301.59784244857
Songpanalu,-294.94992175273865
Gildong,-274.3632714500753
Gonghangsijang,-268.0875564475665
Incheonnonhyeon,-258.7975413948821
Gyodae,-254.01295731707316
An Am,-248.2637195121951
Naebang,-245.8163572503763
Gosogteomineol,-240.44238166917546
Geumjeong,-239.91971901655796
Gangdonggucheong,-238.078273958856
Bolamaebyeong Won,-238.01872074882996
Doglibmun,-236.73783241344705
Sinheung,-234.381585549423
Seo Uljibangbyeongmucheong,-228.59984399375975
Dongmyo Ap,-226.73833416959357
Madu,-225.90667335674863
Heugseog(Jung Angdae Ibgu),-225.5030105368791
Seodaemun,-221.32689412945308
Nogsapyeong(Yongsangucheong),-220.4004014049172
Gonghanghwamulcheongsa,-218.74761665830405
Unseo,-216.77546412443553
Saesgang,-209.64085041761578
Mongchontoseong(Pyeonghwa Uimun),-206.24954954954956
Daegong Won,-203.14249874560963
Sinjeongnegeoli,-201.94957350727546
Yeongdeungpogucheong,-196.70709984947317
Bong Eunsa,-195.07564102564103
Seogchon,-194.533781718129
Samseongjung Ang,-191.24025641025642
Dogba Wi,-190.42774711490216
Suseo,-190.19029101856498
Namdong Indeoseupakeu,-187.5245860511791
Bolamaegong Won,-181.57488299531983
Singeumho,-170.15780230807826
Sindab,-165.53788258906172
Euljilo Ibgu,-165.0609633718013
Gu Il,-158.82212744606122
Seo Ulsup,-157.2548921224285
Icheon,-145.04025044722718
Samgagji(Jeonjaengginyeomgwan),-142.97679324894514
Euljilo3Ga,-138.0471650777722
Ogsu,-136.86791269443052
Yongdu,-135.09298780487805
Dongdaemun Yeogsamunhwagong Won(Ddp),-134.61116427432216
Gongdeog,-131.83737240904253
Misa,-129.94123711340205
Yeongtong,-129.36427496236828
Myeong Il,-127.76743602609132
Gaelong,-124.59458103361766
Su Won,-122.06372303060712
Won Injae,-121.50125439036628
Sam Yang,-118.01228827632016
Euljilo4Ga,-112.79603612644254
Namchuncheon,-112.54440541896638
Bang I,-108.83391871550427
Eolin Idaegong Won,-105.33841463414635
Taeleung Ibgu,-103.89400401404917
Ju Yeob,-99.71700953336678
Daebang,-93.34870918754746
Gubanpo,-92.97691921726042
Eolin Idaegong Won(Sejongdae),-89.65315315315316
Susaeg,-87.84395383843452
Dolimcheon,-87.02157551430005
Gughoe Uisadang,-80.10060210737582
Sinnonhyeon,-79.16984445559459
Nam Wilye,-76.73388773388774
Mang Wolsa,-75.99949824385348
Gyeongmagong Won,-75.92323130958354
Gaepodong,-75.8273958855996
Guseong,-72.23030607124937
Jamsilsaenae,-69.53243574051407
Yangcheonhyanggyo,-62.446813848469645
Hag Yeo Ul,-62.019317611640744
On Yang Oncheon,-59.680632212744605
An Am(Godaebyeong Won Ap),-57.17357357357357
Do Won,-54.81108881083793
Hogupo,-51.726041144004014
Eonju,-48.34717948717949
Gim Yujeong,-47.02232814851982
Yongdu(Dongdaemungucheong),-44.43423423423423
Sinpo,-40.30274971941638
Indeog Won,-40.04064224786754
Gapyeong,-38.339688911189164
Bucheonsicheong,-38.332435552135436
Gwan Agsan(Seo Uldae),-36.75897035881435
Yeongjong,-27.085690045248867
Seo Ul Yeog,-24.94606685096758
Ichon,-24.557164634146343
Mu Agjae,-23.28750627195183
Jigsan,-20.31811339688911
Sam Yangsageoli,-18.612089006974426
Bucheon,-18.53060712493728
Choji,-13.998745609633717
Paldang,-11.704465629703964
Gogsan,-9.325388861013547
Yang Won,-7.054440541896638
Sungsildae Ibgu(Salpijae),-4.605105105105105
Sejongdae Wangleung,-3.166716373396958
Wonjong,-1.868629671574179
Jipyeong,-0.7508500772797527
Uncheon,1.916434540389972
Yongdab,2.260662318113397
Asin,2.60863020572002
Obin,3.9979929754139487
Imjingang,4.157894736842105
Gulbongsan,4.427747114902157
Jichug,5.445323890856072
Sinbanpo,6.910938283993979
Yongmun,7.591570496738585
Choseongli,9.206896551724139
Yangsu,9.992222779729051
Dunchondong,12.68314099347717
Maseog,13.066984445559457
Hanampungsan,13.220103092783505
Baeg Yangli,14.942799799297541
Yeoncheon,15.654442877291961
Wondeog,16.595835423983942
Yeoju,16.84943351222421
Seogangdae,17.3941294530858
Nolyangjin,18.874310085298546
Maegyo,19.240341194179628
Gugsu,20.99774209734069
Wollong,22.06347215253387
Byeongjeom,22.636728549924737
Gyeongchalbyeong Won,22.894882087305568
Daeseongli,23.06949322629202
Sinnae,23.160096894957057
Jonglo3Ga,23.65454089312594
Dal Wol,23.67962870045158
Bongmyeong,25.08705469141997
Yangpyeong,25.30092824887105
Cheongsan,25.93411420204978
Deogso,26.35574510787757
