station_en,total_flow
Seo Ul Yeog,2690099992
Gosogteomineol,2011924242
Hongdae Ibgu,1994037843
Gangnam,1359723164
Jonglo3Ga,1248894591
Su Won,1177769694
Gongdeog,1122204772
Sadang,1054838648
Seonleung,967850374
Sindolim,892512320
Geondae Ibgu,876831308
Gasandijiteoldanji,864640126
Gimpogonghang,825976548
Yeo Uido,727024204
Sicheong,726530986
Habjeong,720861026
No Won,678654426
Sinchon,671833424
Dijiteolmidi Eositi,645473652
Nolyangjin,632940628
Hoegi,623519190
Yongsan,615253582
Jamsil(Songpagucheong),601950808
Dangsan,590781724
Yeonsinnae,577599610
Dongdaemun,553436828
Bupyeong,543120806
Dongdaemun Yeogsamunhwagong Won,507103047
Sinlim,490937222
Euljilo3Ga,484707040
Suseo,460287994
Sinseoldong,458851353
Chungmulo,457516252
Gulodijiteoldanji,450201252
Changdong,435623390
Kkachisan,431547806
Geumjeong,418340224
Molan,402558290
Gangnamgucheong,387070330
Yeongdeungpogucheong,385153746
Yeogsam,367085286
Bulgwang,359233828
Sindang,356649444
Yeongdeungpo,355999971
Euljilo Ibgu,353111035
Seoggye,344422630
Samseong(Mu Yeogsenteo),340065374
Ju An,332722384
Seo Uldae Ibgu(Gwan Aggucheong),304388105
Jonggag,299458429
Hyehwa,297068903
Gyodae(Beob Won.Geomchalcheong),294359483
Dongmyo Ap,293957860
Su Yu(Gangbuggucheong),288363374
Bucheon,281836609
Jonghab Undongjang,280968678
Euljilo4Ga,279545680
Wangsibli(Seongdonggucheong),271038557
Migeum,266394880
Jeongja,263428790
Myeongdong,262934840
Dobongsan,259502234
Seongsu,259159143
Galagsijang,258955562
Yagsu,257678472
Cheonglyangli(Seo Ulsilibdae Ibgu),257194550
Abgujeong,257058513
Jamsil,243221864
Yangjae(Seochogucheong),243018260
Seonjeongleung,239024512
Cheonho(Pungnabtoseong),236929537
Sinsa,234627838
Sinnonhyeon,231536247
Gangbyeon(Dongseo Ulteomineol),229587442
Daelim(Gulogucheong),228452901
Ssangmun,224686134
Songnae,222547847
Taeleung Ibgu,221902242
Mi Asageoli,220643292
Yeoggog,216293771
Beomgye,214725495
Gwanghwamun(Sejongmunhwahoegwan),210558742
Hwagog,210106423
Seogchon,208685200
Yatab,207881782
Sindaebang,201167830
Nambuteomineol(Yesul Uijeondang),199012649
Seohyeon,196136903
Hoelyong,195371706
An Yang,194539903
Angug,193723595
Singil,193606798
Dogog,191047528
Jonglo5Ga,188277798
Indeog Won,187821190
Gwangmyeongsageoli,181814939
Sangbong,181701306
Bongcheon,175259954
Samgagji,175188340
Gil Eum,174293417
Hoehyeon(Namdaemunsijang),173645157
Cheolsan,173133459
Gaebong,171862301
Hagdong,169783946
Seocho,164430637
Uijeongbu,161016053
Seongsin Yeodae Ibgu(Don Am),160870641
Gye Yang,160364106
Sosa,158019784
Gunja(Neungdong),156283525
Ga Yang,155182359
Yangpyeong,155114134
Cheongdam,154638389
Munlae,154353130
Ttugseom,153601859
Gyeongboggung(Jeongbuseo Ulcheongsa),153476920
Gulo,150186149
Gupabal,149839218
Ogeum,148607182
Sanggye,148186776
Gu Ui(Gwangjingucheong),148150342
Ogsu,147361038
Nonhyeon,146469137
Omoggyo(Mogdong Undongjang Ap),146355355
Hyochanggong Won Ap,145240732
Jamsilsaenae,145172252
Jegidong,142067976
Hwajeong,141760068
Bangbae,141292448
Jung Ang,139774557
Sanglogsu,139662501
Hagye,139508653
Idae,139487385
Dong Am,139332855
Hongje,139167812
Giheung,138920998
Bogjeong,138337666
Janghanpyeong,138224629
Gangdong,137248829
Abgujeonglode O,136515585
Gyodae,136505922
Mogdong,136352165
Balsan,135334044
Gwang Undae,135062076
Sanbon,134914394
Seodaemun,134340679
O Ido,133438436
Eung Am,132765589
Geom Am,132277164
Bomun,132004656
Chongsindae Ibgu(Isu),131883134
Dongdaemun Yeogsamunhwagong Won(Ddp),129526554
Amsa,128676405
Samsong,126009363
Sin Yongsan,125668802
Munjeong,124932979
Dogsan,124513116
Jugjeon,124063385
Pyeongchon,124036311
Jangji,123488738
Isu,123314881
Yeomchang,123199314
Sagajeong,121793363
Bong Eunsa,121316459
Mang U,121022398
Dong Incheon,120562909
Namgulo,119647431
Byeongjeom,118421222
Gughoe Uisadang,117766877
Sindaebangsamgeoli,117098365
Myeonmog,116976785
Jamsilnalu,116371499
Seonggyungwandae,115850835
Cheonggu,115791120
Dabsibli,115438209
Daelim,114699282
Hanti,113755251
Itae Won,113170058
Ujangsan,112955246
Nagseongdae,112884707
Sangbong(Si Oebeoseuteomineol),112728002
Yangjae,112159574
Mang Won,111897189
Cheonho,111116138
Junggye,109441460
Daebang,107418555
Mapo,107161228
Ansan,106822332
Naebang,106331710
Pyeongtaeg,106328729
Onsu(Seonggonghoedae Ibgu),104346609
Taepyeong,104196534
Nagseongdae(Ganggamchan),102961931
Nogbeon,102765765
Sunae,101668365
Sulagsan,100985951
Mapogucheong,100915760
Guli,100440090
Bupyeonggucheong,99884398
Imae,99724658
