station_en,total_flow
Gyeongmagong Won,4.910504069973999
Imjingang,4.4843664506418675
Daeseongli,1.9054759469236833
Uncheon,1.7683017707935502
Daegong Won,1.700530161412481
Paldang,1.6372368773681276
Ungilsan,1.5513823097753678
Gulbongsan,1.5484951148445638
Sangcheon,1.5063453620293892
So Yosan,1.4739104937486796
Gim Yujeong,1.4447242818523722
Gangchon,1.4421214083618994
Baeg Yangli,1.4203444246845836
Woldeukeobgyeonggijang,1.4102949815941275
Ollimpiggong Won,1.3339090855476823
Choseongli,1.3273388995932347
Woldeukeobgyeonggijang(Seongsan),1.3194427956964836
Bughansan U I,1.2764180834231462
Jeongog,1.228608266807738
Itae Won,1.2240237000727852
Yeoncheon,1.219364634645405
Incheon,1.2095025071152363
Yongmun,1.2085067045233953
Gapyeong,1.2074825467059864
Hag Yeo Ul,1.1877343305766834
Chuncheon,1.1846512632144717
Sin Won,1.1718868294453804
Ollimpiggong Won(Hangugchedae),1.129574552841292
Dongmyo Ap,1.1172893347974417
Wondeog,1.1013152509003303
Namchuncheon,1.0983148167299073
Gwan Agsan(Seo Uldae),1.0930509297353626
Cheongpyeong,1.092638579038345
Cheon An,1.0882191840525999
Sejongdae Wangleung,1.0818291172746966
Yeo Uinalu,1.0793593608169558
Gosogteomineol,1.0781037633842099
Incheongugjegonghang,1.0772292592236832
On Yang Oncheon,1.0700490373886271
Hongdae Ibgu,1.0670947598396838
Ja Yang(Ttugseomhanganggong Won),1.0540662949818695
Yongsan,1.0479089737593443
Pyeongtaeg,1.04074195911347
Yangsu,1.0384770768701057
Nogsapyeong(Yongsangucheong),1.0356345222624939
Bosan,1.0264935478789707
Solaepogu,1.016984019584046
Yeoju,1.0150486991105638
Cheongsan,1.013482971370314
Incheongonghang1Teomineol,1.0106702922715693
Incheongonghang2Teomineol,1.0033582079495031
Yeongdeungpo,0.9984650769333797
Cheonglyangli(Jisang),0.9943194430860189
Songtan,0.9928532754426571
Jonghab Undongjang,0.988483243650349
Su Won,0.9873415087063881
Ttugseom Yu Wonji,0.9780414446968713
Gangbyeon,0.9717621737967046
Icheon,0.9558383602332139
Asan,0.9443381111023762
Hangangjin,0.9408197745672724
Asin,0.9399696531000804
Uijeongbu,0.9347577683596408
Ansan,0.9335683735546387
Osan,0.9163756250491754
Jeongbalsan,0.9163018753434644
Gimpogonghang,0.9135640664937364
Baebang,0.9090643714788206
Myeongdong,0.9011112812617157
Bupyeong,0.9006991887827375
Gangbyeon(Dongseo Ulteomineol),0.8979366646225649
Ichon,0.8968752538678991
Jipyeong,0.8938123160181624
Seobinggo,0.893650418615648
Munsan,0.8931835967487365
Dobongsan,0.8920666892350002
Cheonglyangli(Seo Ulsilibdae Ibgu),0.8910646568685171
Samgagji(Jeonjaengginyeomgwan),0.8855438202909737
Obin,0.8788834736466764
Unseo,0.8756170361410511
Sangsu,0.870756615401385
Bubal,0.8675542413010764
Hyehwa,0.8637999864739568
Hanamgeomdansan,0.8631984466009488
Geondae Ibgu,0.8594873271409454
Gugsu,0.857617161040585
Jigsan,0.8556398529455671
Yeongjong,0.851158620737196
Cheonglyangli(Jiha),0.8503058254217313
Selyu,0.8453587105558901
Jamsil,0.8337786518072386
Ichon(Guglibjung Angbagmulgwan),0.8323704866487008
Jamsil(Songpagucheong),0.8308216976869923
Wangsibli,0.8297676138322861
Geumchon,0.8265226252155262
Dongducheon Jung Ang,0.8230186214882191
Jije,0.8227360691495362
Yeonsu,0.8219387493167662
Seojeongli,0.819528858817563
Dujeong,0.8182727782055652
Habjeong,0.8181060464618168
Eocheon,0.8177413754165633
Gonji Am,0.8155978860851211
Daelim,0.8128444973888481
Pyeongtaegjije,0.8121893986342343
Sinchon,0.8080997911959603
Dongdaemun Yeogsamunhwagong Won,0.8068418435041951
Bucheon,0.8067308418701827
Jung Ang,0.804716212909211
O Ido,0.8024868651759537
Dong Incheon,0.7940704152484552
Nolyangjin,0.7935518827354351
Jihaeng,0.791225375455952
Gwangmyeong,0.7892678379739351
Jang Am,0.7890109052299613
Daelim(Gulogucheong),0.7889169873135039
Cheonho,0.7885353304868202
Achasan,0.7855858710060187
Dongdae Ibgu,0.7841353041858149
Su Wonsicheong,0.7806836429755806
Dongducheonjung Ang,0.7789283687382573
Seo Ul Yeog,0.7756053921108625
Dongjag(Hyeonchung Won),0.7741025896469559
Mang Won,0.7729692531581127
Achasan(Eolin Idaegong Wonhumun),0.772669003759629
Gyeongboggung(Jeongbuseo Ulcheongsa),0.7718335521616004
Dongjag,0.7716607866162966
Gu Il,0.7711085211959483
Cheonmasan,0.7680915832524738
Yangju,0.7679126982936095
Mang U,0.7673910501452764
Tangjeong,0.7655660245764314
Namtaelyeong,0.7644499999532984
Doglibmun,0.7637816009895192
Singil Oncheon,0.7635898866566959
Sosa,0.7617360123589673
Gwan Ag,0.7599765672646129
Sindolim,0.7585245756151077
Jegidong,0.7581414621981835
Wangsibli(Seongdonggucheong),0.7571592589833452
Sangbong,0.7544075521493271
Cheonho(Pungnabtoseong),0.7538923188996483
Won Injae,0.7524348290311808
Maseog,0.7501248046622523
Sinheung,0.7499560105248583
Dongducheon,0.7492449337398192
Nambuteomineol,0.7484307165916942
Sulagsan,0.7483643988144771
Wonjong,0.7473994858859558
Eolin Idaegong Won,0.7471947428820639
Dong Am,0.7459270733297159
Bulgwang,0.7443444168251278
Jonglo3Ga,0.7441881792893839
Molan,0.7441166316600791
Sindundo Yechon,0.7437704662877989
Wolgoj,0.7416918391204181
Sangdong,0.7406837133547476
Sadang,0.740181130008948
Dongdaemun,0.7390161034457937
Seo Ulsup,0.7388174456539173
Bul Amsan,0.7387975784825169
Danggogae,0.7370664015551346
Ju An,0.7363377003244991
Mongchontoseong,0.7358420541922862
Seodongtan,0.7357651144285748
Dongdaemun Yeogsamunhwagong Won(Ddp),0.7351449790964151
Sujin,0.7335994762858201
Sinpo,0.7335932883400625
Byeongjeom,0.7324485914503225
Songdo,0.7312535110753914
Imae,0.7300839839570922
Abgujeonglode O,0.7289674252509317
Hoegi,0.7286577905507531
Sinlim,0.7274990074329372
Deogso,0.726059846777831
Yangjeong,0.7259621692576972
Songpanalu,0.7247158236513149
Junglang,0.7244014780777751
Eungbong,0.7227243923226163
Sema,0.722627281782797
Seongsin Yeodae Ibgu(Don Am),0.7217166260841692
Seo Uldaebencheota Un,0.7212842943456593
No Won,0.7209982199807798
Ban Wol,0.7209698492769883
Seogangdae,0.7200759376112168
Hwaseo,0.7179509260194427
